Date,Open,High,Low,Close,Adj Close,Volume
1998-11-23,1804.800048828125,1804.800048828125,1804.800048828125,1804.800048828125,1283.3394775390625,4188
1998-11-24,17600.0,17600.0,17088.0,17088.0,12150.7666015625,2962
1998-11-25,17216.0,17216.0,17088.0,17088.0,12150.7666015625,1051
1998-11-26,17088.0,17088.0,17088.0,17088.0,12150.7666015625,718
1998-11-27,17408.0,17536.0,17408.0,17536.0,12469.326171875,467
1998-11-30,17600.0,17600.0,17600.0,17600.0,12514.833984375,599
1998-12-01,17600.0,17600.0,17536.0,17536.0,12469.326171875,381
1998-12-02,17152.0,18112.0,17152.0,18112.0,12878.90234375,439
1998-12-03,18560.0,19072.0,18560.0,19072.0,13561.53125,736
1998-12-04,20928.0,20928.0,20480.0,20480.0,14562.716796875,654
1998-12-07,20352.0,20352.0,19840.0,19840.0,14107.630859375,162
1998-12-08,19840.0,19840.0,19840.0,19840.0,14107.630859375,115
1998-12-09,19904.0,19904.0,19584.0,19584.0,13925.595703125,122
1998-12-10,19904.0,19968.0,19904.0,19968.0,14198.6484375,181
1998-12-11,19968.0,19968.0,19584.0,19584.0,13925.595703125,62
1998-12-14,19904.0,19904.0,19584.0,19584.0,13925.595703125,37
1998-12-15,19584.0,19584.0,19584.0,19584.0,13925.595703125,131
1998-12-16,19584.0,19584.0,19072.0,19072.0,13561.53125,248
1998-12-17,19264.0,19264.0,19072.0,19072.0,13561.53125,96
1998-12-18,19392.0,19392.0,19392.0,19392.0,13789.0712890625,24
1998-12-21,19072.0,19776.0,19072.0,19776.0,14062.1220703125,157
1998-12-22,19776.0,19776.0,19456.0,19456.0,13834.580078125,32
1998-12-23,19648.0,19648.0,19648.0,19648.0,13971.1064453125,58
1998-12-24,19648.0,19648.0,19648.0,19648.0,13971.1064453125,0
1998-12-25,19648.0,19648.0,19648.0,19648.0,13971.1064453125,0
1998-12-28,19904.0,19904.0,19904.0,19904.0,14153.138671875,92
1998-12-29,19968.0,20480.0,19968.0,20480.0,14562.716796875,105
1998-12-30,20992.0,21440.0,20992.0,21440.0,15245.3447265625,110
1998-12-31,21440.0,21440.0,21440.0,21440.0,15245.3447265625,0
1999-01-01,21440.0,21440.0,21440.0,21440.0,15245.3447265625,0
1999-01-04,21440.0,21888.0,21440.0,21888.0,15563.90234375,76
1999-01-05,22336.0,24960.0,22336.0,24960.0,17748.310546875,344
1999-01-06,27520.0,28736.0,27520.0,28736.0,20433.3125,389
1999-01-07,28416.0,28416.0,26176.0,26176.0,18612.97265625,132
1999-01-08,27840.0,27840.0,26880.0,26880.0,19113.56640625,182
1999-01-11,27968.0,27968.0,27776.0,27776.0,19750.685546875,35
1999-01-12,27712.0,27776.0,27712.0,27776.0,19750.685546875,250
1999-01-13,26944.0,26944.0,26240.0,26240.0,18658.48046875,185
1999-01-14,26880.0,26880.0,26432.0,26432.0,18795.009765625,34
1999-01-15,26624.0,26624.0,26496.0,26496.0,18840.513671875,20
1999-01-18,26752.0,26752.0,26496.0,26496.0,18840.513671875,21
1999-01-19,26688.0,26880.0,26688.0,26880.0,19113.56640625,316
1999-01-20,26880.0,26880.0,26880.0,26880.0,19113.56640625,56
1999-01-21,27200.0,27520.0,27200.0,27520.0,19568.6484375,56
1999-01-22,27712.0,27776.0,27712.0,27776.0,19750.685546875,46
1999-01-25,28096.0,28096.0,28096.0,28096.0,19978.2265625,92
1999-01-26,28096.0,28096.0,28096.0,28096.0,19978.2265625,105
1999-01-27,28096.0,28160.0,28096.0,28160.0,20023.732421875,92
1999-01-28,28096.0,28416.0,28096.0,28416.0,20205.771484375,85
1999-01-29,28928.0,30272.0,28928.0,30272.0,21525.515625,123
1999-02-01,33344.0,33984.0,33344.0,33984.0,24165.009765625,141
1999-02-02,34368.0,40640.0,34368.0,40640.0,28897.890625,73
1999-02-03,35584.0,38016.0,35584.0,38016.0,27032.04296875,235
1999-02-04,37376.0,37376.0,35648.0,35648.0,25348.23046875,188
1999-02-05,35008.0,35008.0,33088.0,33088.0,23527.888671875,116
1999-02-08,31872.0,33152.0,31872.0,33152.0,23573.39453125,48
1999-02-09,34368.0,34368.0,34368.0,34368.0,24438.056640625,39
1999-02-10,34368.0,34368.0,34368.0,34368.0,24438.056640625,47
1999-02-11,33728.0,33728.0,33216.0,33216.0,23618.908203125,5
1999-02-12,33216.0,33216.0,32640.0,32640.0,23209.330078125,16
1999-02-15,32576.0,33728.0,32576.0,33728.0,23982.97265625,32
1999-02-16,33728.0,35584.0,33728.0,35584.0,25302.72265625,68
1999-02-17,35584.0,35584.0,35584.0,35584.0,25302.72265625,49
1999-02-18,36224.0,37504.0,36224.0,37504.0,26667.97265625,52
1999-02-19,38080.0,39936.0,38080.0,39936.0,28397.296875,90
1999-02-22,39936.0,39936.0,38784.0,38784.0,27578.142578125,115
1999-02-23,38656.0,38720.0,38656.0,38720.0,27532.63671875,79
1999-02-24,38912.0,39360.0,38912.0,39360.0,27987.720703125,368
1999-02-25,40000.0,40000.0,39040.0,39040.0,27760.17578125,107
1999-02-26,39040.0,39040.0,38720.0,38720.0,27532.63671875,29
1999-03-01,37504.0,37504.0,37504.0,37504.0,26667.97265625,19
1999-03-02,38080.0,38080.0,38080.0,38080.0,27077.55078125,11
1999-03-03,38400.0,38400.0,38400.0,38400.0,27305.09375,40
1999-03-04,38720.0,40000.0,38720.0,40000.0,28442.806640625,65
1999-03-05,40640.0,41792.0,40640.0,41792.0,29717.044921875,22
1999-03-08,41856.0,42560.0,41856.0,42560.0,30263.14453125,54
1999-03-09,42816.0,43136.0,42816.0,43136.0,30672.72265625,153
1999-03-10,43648.0,43648.0,41792.0,41792.0,29717.044921875,74
1999-03-11,40576.0,40576.0,39232.0,39232.0,27896.703125,124
1999-03-12,37504.0,37504.0,34048.0,34048.0,24210.513671875,105
1999-03-15,35008.0,35392.0,35008.0,35392.0,25166.193359375,186
1999-03-16,35904.0,36224.0,35904.0,36224.0,25757.8046875,142
1999-03-17,36224.0,36224.0,36160.0,36160.0,25712.29296875,135
1999-03-18,35584.0,35584.0,35008.0,35008.0,24893.142578125,38
1999-03-19,34368.0,35584.0,34368.0,35584.0,25302.72265625,54
1999-03-22,35008.0,35008.0,34368.0,34368.0,24438.056640625,58
1999-03-23,33728.0,33728.0,31232.0,31232.0,22208.142578125,32
1999-03-24,30016.0,30144.0,30016.0,30144.0,21434.494140625,42
1999-03-25,30592.0,31232.0,30592.0,31232.0,22208.142578125,131
1999-03-26,31168.0,31168.0,30592.0,30592.0,21753.056640625,161
1999-03-29,30592.0,30592.0,30592.0,30592.0,21753.056640625,30
1999-03-30,30144.0,30144.0,30016.0,30016.0,21343.482421875,104
1999-03-31,29376.0,29376.0,29376.0,29376.0,20888.396484375,13
1999-04-01,29248.0,29248.0,28416.0,28416.0,20205.771484375,19
1999-04-02,28416.0,28416.0,28416.0,28416.0,20205.771484375,0
1999-04-05,28416.0,28416.0,28416.0,28416.0,20205.771484375,0
1999-04-06,25664.0,28096.0,25664.0,28096.0,19978.2265625,183
1999-04-07,28672.0,30016.0,28672.0,30016.0,21343.482421875,95
1999-04-08,32960.0,34368.0,32960.0,34368.0,24438.056640625,395
1999-04-09,33088.0,33600.0,33088.0,33600.0,23891.95703125,30
1999-04-12,33088.0,33088.0,32512.0,32512.0,23118.3125,66
