Date,Open,High,Low,Close,Adj Close,Volume
1991-01-08,441.0,441.0,441.0,441.0,322.1602783203125,2500
1991-01-09,423.0,423.0,423.0,423.0,309.0108947753906,2400
1991-01-10,420.0,420.0,420.0,420.0,306.8193359375,100
1991-01-11,403.0,403.0,403.0,403.0,294.4003601074219,800
1991-01-14,387.0,387.0,387.0,387.0,282.7120056152344,1700
1991-01-15,387.0,387.0,387.0,387.0,282.7120056152344,0
1991-01-16,387.0,387.0,387.0,387.0,282.7120056152344,0
1991-01-17,387.0,387.0,387.0,387.0,282.7120056152344,0
1991-01-18,387.0,387.0,387.0,387.0,282.7120056152344,0
1991-01-21,387.0,387.0,387.0,387.0,282.7120056152344,0
1991-01-22,387.0,387.0,387.0,387.0,282.7120056152344,0
1991-01-23,387.0,387.0,387.0,387.0,282.7120056152344,0
1991-01-24,399.0,399.0,399.0,399.0,291.47833251953125,500
1991-01-25,399.0,399.0,399.0,399.0,291.47833251953125,0
1991-01-28,435.0,435.0,435.0,435.0,317.7770690917969,500
1991-01-29,429.0,429.0,429.0,429.0,313.3939514160156,7400
1991-01-30,428.0,428.0,428.0,428.0,312.6634826660156,100
1991-01-31,407.0,407.0,407.0,407.0,297.3225402832031,800
1991-02-01,386.0,386.0,386.0,386.0,281.9815979003906,400
1991-02-04,375.0,375.0,375.0,375.0,273.94586181640625,200
1991-02-05,375.0,375.0,375.0,375.0,273.94586181640625,500
1991-02-06,373.0,373.0,373.0,373.0,272.4847412109375,200
1991-02-07,376.0,376.0,376.0,376.0,274.6763610839844,300
1991-02-08,376.0,376.0,376.0,376.0,274.6763610839844,300
1991-02-11,377.0,377.0,377.0,377.0,275.4068908691406,200
1991-02-12,377.0,377.0,377.0,377.0,275.4068908691406,0
1991-02-13,390.0,390.0,390.0,390.0,284.9036865234375,1100
1991-02-14,391.0,391.0,391.0,391.0,285.63421630859375,200
1991-02-15,391.0,391.0,391.0,391.0,285.63421630859375,0
1991-02-18,391.0,391.0,391.0,391.0,285.63421630859375,200
1991-02-19,394.0,394.0,394.0,394.0,287.82568359375,1200
1991-02-20,391.0,391.0,391.0,391.0,285.63421630859375,200
1991-02-21,394.0,394.0,394.0,394.0,287.82568359375,200
1991-02-22,395.0,395.0,395.0,395.0,288.5562744140625,200
1991-02-25,400.0,400.0,400.0,400.0,292.2088317871094,600
1991-02-26,395.0,395.0,395.0,395.0,288.5562744140625,200
1991-02-27,395.0,395.0,395.0,395.0,288.5562744140625,0
1991-02-28,395.0,395.0,395.0,395.0,288.5562744140625,0
1991-03-01,394.0,394.0,394.0,394.0,287.82568359375,800
1991-03-04,394.0,394.0,394.0,394.0,287.82568359375,2300
1991-03-05,393.0,393.0,393.0,393.0,287.09521484375,200
1991-03-06,397.0,397.0,397.0,397.0,290.017333984375,3300
1991-03-07,398.0,398.0,398.0,398.0,290.7477722167969,200
1991-03-08,397.0,397.0,397.0,397.0,290.017333984375,700
1991-03-11,398.0,398.0,398.0,398.0,290.7477722167969,800
1991-03-12,398.0,398.0,398.0,398.0,290.7477722167969,300
1991-03-13,397.0,397.0,397.0,397.0,290.017333984375,500
1991-03-14,397.0,397.0,397.0,397.0,290.017333984375,500
1991-03-15,398.0,398.0,398.0,398.0,290.7477722167969,1100
1991-03-18,400.0,400.0,400.0,400.0,292.2088317871094,300
1991-03-19,400.0,400.0,400.0,400.0,292.2088317871094,500
1991-03-20,400.0,400.0,400.0,400.0,292.2088317871094,1300
1991-03-21,399.0,399.0,399.0,399.0,291.47833251953125,200
1991-03-22,396.0,396.0,396.0,396.0,289.2867736816406,1300
1991-03-25,390.0,390.0,390.0,390.0,284.9036865234375,2300
1991-03-26,390.0,390.0,390.0,390.0,284.9036865234375,4100
1991-03-27,390.0,390.0,390.0,390.0,284.9036865234375,3200
1991-03-28,390.0,390.0,390.0,390.0,284.9036865234375,0
1991-03-29,390.0,390.0,390.0,390.0,284.9036865234375,0
