Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,895.0,895.0,895.0,895.0,569.7120971679688,3
2000-01-04,890.0,890.0,890.0,890.0,566.5294189453125,7
2000-01-06,890.5,890.5,890.5,890.5,566.84765625,5
2000-01-07,890.0,890.0,890.0,890.0,566.5294189453125,2
2000-01-10,895.0,895.0,890.0,890.0,566.5294189453125,17
2000-01-11,890.0,890.0,890.0,890.0,566.5294189453125,6
2000-01-14,890.0,890.0,890.0,890.0,566.5294189453125,5
2000-01-17,900.0,900.0,900.0,900.0,572.8948364257812,8
2000-01-18,899.5,900.0,899.5,900.0,572.8948364257812,12
2000-01-19,890.0,890.0,890.0,890.0,566.5294189453125,12
2000-01-20,890.0,890.0,890.0,890.0,566.5294189453125,50
2000-01-21,890.0,890.0,890.0,890.0,566.5294189453125,20
2000-01-24,895.0,895.0,895.0,895.0,569.7120971679688,3
2000-01-25,890.0,890.0,890.0,890.0,566.5294189453125,81
2000-01-26,910.0,910.0,910.0,910.0,579.2604370117188,51
2000-01-27,911.0,911.0,911.0,911.0,579.89697265625,3
2000-01-28,902.0,902.0,902.0,902.0,574.1678466796875,4
2000-01-31,918.0,918.0,918.0,918.0,584.352783203125,3
2000-02-01,914.0,914.0,914.0,914.0,581.8065185546875,20
2000-02-02,891.0,891.0,891.0,891.0,567.1658935546875,20
2000-02-03,890.0,890.0,890.0,890.0,566.5294189453125,6
2000-02-07,890.0,890.0,890.0,890.0,566.5294189453125,10
2000-02-08,890.0,890.0,890.0,890.0,566.5294189453125,11
2000-02-09,890.0,890.0,890.0,890.0,566.5294189453125,12
2000-02-10,890.0,890.0,890.0,890.0,566.5294189453125,10
2000-02-17,892.0,892.0,892.0,892.0,567.802490234375,2
2000-02-18,890.0,890.0,890.0,890.0,566.5294189453125,15
2000-02-21,890.0,890.0,890.0,890.0,566.5294189453125,3
2000-02-22,890.0,890.0,890.0,890.0,566.5294189453125,10
2000-02-24,890.0,890.0,890.0,890.0,566.5294189453125,10
2000-02-25,890.0,890.0,890.0,890.0,566.5294189453125,13
2000-02-28,890.0,895.0,890.0,895.0,569.7120971679688,21
2000-02-29,890.0,890.0,890.0,890.0,566.5294189453125,10
2000-03-01,934.0,934.0,934.0,934.0,594.5375366210938,3
2000-03-02,890.0,890.0,890.0,890.0,566.5294189453125,130
2000-03-03,930.0,930.0,930.0,930.0,591.9913940429688,6
2000-03-06,891.0,891.0,891.0,891.0,567.1658935546875,1
2000-03-07,914.5,914.5,914.5,914.5,582.1248779296875,3
2000-03-08,914.5,914.5,914.5,914.5,582.1248779296875,1
2000-03-15,890.0,890.0,890.0,890.0,566.5294189453125,10
2000-03-16,891.0,891.0,891.0,891.0,567.1658935546875,5
2000-03-24,891.0,891.0,891.0,891.0,567.1658935546875,8
2000-03-27,891.0,891.0,891.0,891.0,567.1658935546875,2
2000-03-28,890.0,890.0,890.0,890.0,566.5294189453125,40
2000-03-31,890.0,890.0,890.0,890.0,566.5294189453125,27
2000-04-03,890.0,890.0,890.0,890.0,566.5294189453125,60
2000-04-04,930.0,930.0,930.0,930.0,591.9913940429688,11
2000-04-05,890.0,890.0,890.0,890.0,566.5294189453125,16
2000-04-06,890.5,915.0,890.5,915.0,582.443115234375,11
2000-04-10,890.0,890.0,890.0,890.0,566.5294189453125,3
2000-04-11,890.0,890.0,890.0,890.0,566.5294189453125,3
2000-04-12,890.5,890.5,890.5,890.5,566.84765625,2
2000-04-17,890.0,890.0,890.0,890.0,566.5294189453125,28
2000-04-27,890.0,890.0,890.0,890.0,566.5294189453125,8
2000-04-28,915.0,915.0,915.0,915.0,582.443115234375,2
2000-05-02,915.5,915.5,890.0,890.0,566.5294189453125,12
2000-05-04,915.5,915.5,915.5,915.5,582.7613525390625,7
2000-05-10,975.0,975.0,975.0,975.0,620.6361083984375,3
2000-05-11,900.0,900.0,900.0,900.0,572.8948364257812,12
2000-05-12,900.0,900.0,900.0,900.0,572.8948364257812,3
2000-05-16,900.5,900.5,900.5,900.5,573.2131958007812,10
2000-05-18,905.0,905.0,905.0,905.0,576.0775756835938,9
2000-05-24,910.0,910.0,910.0,910.0,579.2604370117188,2
2000-05-26,975.0,975.0,975.0,975.0,620.6361083984375,4
2000-05-29,908.0,908.0,908.0,908.0,577.9872436523438,3
2000-06-06,975.0,975.0,975.0,975.0,620.6361083984375,18
2000-06-09,953.0,953.0,953.0,953.0,606.6319580078125,10
2000-06-13,974.0,975.0,974.0,975.0,620.6361083984375,14
2000-06-14,975.0,975.0,975.0,975.0,620.6361083984375,6
2000-06-15,990.0,998.0,990.0,998.0,635.2767333984375,19
2000-06-20,999.0,999.0,999.0,999.0,635.9132690429688,2
2000-06-22,998.5,1000.0,998.5,1000.0,636.5499267578125,31
2000-06-23,1000.0,1000.0,1000.0,1000.0,636.5499267578125,6
2000-06-28,1020.0,1020.0,1020.0,1020.0,662.5314331054688,6
2000-06-29,978.0,978.0,978.0,978.0,635.2507934570312,16
2000-06-30,978.0,978.0,978.0,978.0,635.2507934570312,5
2000-07-10,999.0,999.0,999.0,999.0,648.8910522460938,40
2000-07-12,999.0,999.0,999.0,999.0,648.8910522460938,10
2000-07-17,1009.0,1009.0,1009.0,1009.0,655.386474609375,2
2000-07-19,965.0,965.0,965.0,965.0,626.8067626953125,10
2000-07-24,960.0,960.0,960.0,960.0,623.5589599609375,5
2000-07-25,940.0,940.0,940.0,940.0,610.5681762695312,5
2000-08-02,900.0,900.0,900.0,900.0,584.5864868164062,3
2000-08-10,1041.5,1041.5,1041.5,1041.5,676.4965209960938,4
2000-08-14,1038.0,1040.0,1038.0,1040.0,675.5222778320312,204
2000-08-21,1040.5,1040.5,1040.5,1040.5,675.8469848632812,3
2000-08-22,1057.0,1057.0,1057.0,1057.0,686.564453125,2
2000-08-23,1098.0,1098.0,1043.5,1043.5,677.7955932617188,5
2000-08-24,1010.0,1010.0,1010.0,1010.0,656.0360107421875,6
2000-09-05,961.5,961.5,961.5,961.5,624.533203125,2
2000-09-07,920.0,920.0,920.0,920.0,597.577392578125,10
2000-09-12,932.0,932.0,932.0,932.0,605.3717651367188,25
2000-09-14,927.5,927.5,927.5,927.5,602.4489135742188,4
2000-09-19,950.5,950.5,950.5,950.5,617.3883666992188,1
2000-09-22,926.5,926.5,926.5,926.5,601.7993774414062,7
2000-09-27,998.0,998.0,998.0,998.0,648.2415771484375,13
2000-10-04,1000.5,1000.5,1000.5,1000.5,649.8654174804688,20
2000-10-06,1044.0,1087.5,1044.0,1087.5,706.37548828125,9
2000-10-09,1074.0,1074.0,1070.0,1070.0,695.008544921875,14
2000-10-10,1069.0,1069.0,1069.0,1069.0,694.3589477539062,22
2000-10-11,1068.0,1068.0,1068.0,1068.0,693.7093505859375,5
2000-10-12,1067.0,1067.0,1067.0,1067.0,693.059814453125,5
2000-10-16,1070.0,1070.0,1070.0,1070.0,695.008544921875,21
2000-10-18,1031.0,1031.0,1031.0,1031.0,669.6764526367188,3
2000-10-19,1080.0,1080.0,1080.0,1080.0,701.5039672851562,6
2000-10-20,1080.0,1080.0,1080.0,1080.0,701.5039672851562,2
2000-10-30,1030.0,1030.0,1000.0,1000.0,649.540771484375,17
2000-11-06,1006.0,1006.0,1006.0,1006.0,653.4378051757812,6
2000-11-13,1010.0,1010.0,1010.0,1010.0,656.0360107421875,2
2000-11-14,1010.0,1010.0,1010.0,1010.0,656.0360107421875,1
2000-11-15,1051.5,1080.0,1051.5,1080.0,701.5039672851562,32
2000-11-16,1052.5,1052.5,1052.5,1052.5,683.6414794921875,14
2000-11-24,1095.0,1095.0,1095.0,1095.0,711.2470092773438,25
2000-11-27,1175.0,1175.0,1175.0,1175.0,763.2101440429688,4
2000-11-30,1180.0,1180.0,1180.0,1180.0,766.4580688476562,4
2000-12-01,1180.0,1180.0,1180.0,1180.0,766.4580688476562,0
2000-12-04,1121.0,1121.0,1121.0,1121.0,728.1350708007812,13
2000-12-11,1180.0,1180.0,1180.0,1180.0,766.4580688476562,2
2000-12-14,1100.0,1100.0,1100.0,1100.0,714.4947509765625,6
2000-12-18,1010.0,1010.0,1010.0,1010.0,656.0360107421875,26
2000-12-19,1050.0,1050.0,1050.0,1050.0,682.0177612304688,20
2000-12-20,1050.0,1050.0,1050.0,1050.0,682.0177612304688,10
2000-12-22,1050.0,1051.0,1050.0,1051.0,682.667236328125,22
2000-12-25,1051.0,1051.0,1051.0,1051.0,682.667236328125,0
2000-12-26,1051.0,1051.0,1051.0,1051.0,682.667236328125,0
2000-12-27,1051.0,1051.0,1051.0,1051.0,682.667236328125,18
2000-12-28,1050.0,1050.0,1010.0,1010.0,656.0360107421875,12
2000-12-29,1011.5,1011.5,1011.5,1011.5,657.0103759765625,35
2001-01-01,1011.5,1011.5,1011.5,1011.5,657.0103759765625,0
2001-01-03,1021.0,1021.0,1021.0,1021.0,663.180908203125,16
2001-01-08,1027.0,1027.0,1027.0,1027.0,667.0782470703125,8
2001-01-09,1031.0,1031.0,1031.0,1031.0,669.6764526367188,7
2001-01-10,1080.0,1080.0,1080.0,1080.0,701.5039672851562,2
2001-01-12,1050.0,1050.0,1050.0,1050.0,682.0177612304688,17
2001-01-16,1080.0,1100.0,1080.0,1100.0,714.4947509765625,27
2001-01-17,1100.0,1140.0,1100.0,1140.0,740.4763793945312,46
2001-01-18,1140.0,1140.0,1140.0,1140.0,740.4763793945312,2
2001-01-19,1140.0,1140.0,1140.0,1140.0,740.4763793945312,10
2001-01-22,1085.0,1085.0,1085.0,1085.0,704.7515869140625,10
2001-01-23,1150.0,1150.0,1150.0,1150.0,746.9717407226562,45
2001-01-24,1150.0,1150.0,1150.0,1150.0,746.9717407226562,0
2001-01-25,1170.0,1170.0,1170.0,1170.0,759.9625244140625,10
2001-01-26,1170.0,1170.0,1170.0,1170.0,759.9625244140625,0
2001-01-30,1150.0,1150.0,1150.0,1150.0,746.9717407226562,40
2001-01-31,1150.0,1150.0,1150.0,1150.0,746.9717407226562,2
2001-02-01,1150.0,1150.0,1150.0,1150.0,746.9717407226562,20
2001-02-05,1170.0,1170.0,1170.0,1170.0,759.9625244140625,20
2001-02-06,1170.0,1170.0,1170.0,1170.0,759.9625244140625,10
