Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,33.79999923706055,33.79999923706055,33.0,33.0,30.231313705444336,1515
2000-01-04,33.0,33.0,31.5,31.600000381469727,28.948772430419922,2759
2000-01-05,31.0,31.0,30.299999237060547,31.0,28.39910888671875,2046
2000-01-06,30.5,30.5,30.350000381469727,30.5,27.941057205200195,2167
2000-01-07,30.25,30.25,30.200000762939453,30.25,27.7120361328125,651
2000-01-10,30.1299991607666,30.1299991607666,30.0,30.1299991607666,27.602102279663086,2726
2000-01-11,29.729999542236328,30.1299991607666,29.729999542236328,30.1299991607666,27.602102279663086,17335
2000-01-12,30.489999771118164,33.0,30.489999771118164,33.0,30.231313705444336,9466
2000-01-13,35.0,35.0,34.20000076293945,34.279998779296875,31.403911590576172,2715
2000-01-14,34.29999923706055,34.79999923706055,34.25,34.79999923706055,31.880300521850586,1400
2000-01-17,35.0,35.0,34.349998474121094,34.349998474121094,31.468048095703125,1854
2000-01-18,34.79999923706055,37.880001068115234,34.75,37.880001068115234,34.70188522338867,15766
2000-01-19,38.20000076293945,41.349998474121094,38.20000076293945,41.0,37.56011199951172,6084
2000-01-20,41.400001525878906,41.400001525878906,39.0,39.5,36.18596267700195,6950
2000-01-21,38.0,39.849998474121094,37.529998779296875,38.5,35.26986312866211,2831
2000-01-24,37.5,38.869998931884766,37.09000015258789,37.880001068115234,34.70188522338867,10296
2000-01-25,38.75,38.79999923706055,37.900001525878906,38.77000045776367,35.517208099365234,50120
2000-01-26,38.70000076293945,38.790000915527344,37.79999923706055,38.75,35.49889373779297,1044
2000-01-27,39.5,40.20000076293945,37.970001220703125,40.20000076293945,36.827239990234375,3473
2000-01-28,44.34000015258789,44.34000015258789,44.34000015258789,44.34000015258789,40.61988067626953,2914
2000-01-31,44.349998474121094,45.0,44.349998474121094,45.0,41.22451400756836,11806
2000-02-01,45.0,48.380001068115234,44.5,48.380001068115234,44.32093811035156,4260
2000-02-02,50.0,53.29999923706055,48.380001068115234,52.5,48.095272064208984,33283
2000-02-03,51.150001525878906,52.79999923706055,47.900001525878906,47.900001525878906,43.88120651245117,60280
2000-02-04,47.0,48.97999954223633,44.5,46.0,42.14060974121094,7164
2000-02-07,46.0,47.09000015258789,46.0,46.95000076293945,43.01091384887695,4825
2000-02-08,47.5,48.150001525878906,47.0,47.5,43.514766693115234,7381
2000-02-09,46.290000915527344,47.5,45.0,45.0,41.22451400756836,2637
2000-02-10,45.0,45.0,43.099998474121094,43.099998474121094,39.48393249511719,4070
2000-02-11,43.900001525878906,45.20000076293945,43.0,45.20000076293945,41.40774154663086,3371
2000-02-14,46.349998474121094,46.77000045776367,45.599998474121094,45.79999923706055,41.9573974609375,2112
2000-02-15,47.0,48.0,46.79999923706055,48.0,43.972816467285156,5316
2000-02-16,47.79999923706055,48.790000915527344,46.900001525878906,48.0,43.972816467285156,8182
2000-02-17,46.779998779296875,48.0,46.0,48.0,43.972816467285156,2671
2000-02-18,47.95000076293945,48.150001525878906,46.0,47.0,43.05671691894531,2579
2000-02-21,48.0,49.0,47.5,49.0,44.888912200927734,8763
2000-02-22,49.20000076293945,49.83000183105469,49.0,49.0,44.888912200927734,6469
2000-02-23,49.849998474121094,49.849998474121094,48.599998474121094,49.0,44.888912200927734,3433
2000-02-24,49.0,49.75,47.09000015258789,47.75,43.74379348754883,408
2000-02-25,48.970001220703125,49.0,47.099998474121094,47.099998474121094,43.1483268737793,751
2000-02-28,48.29999923706055,48.29999923706055,46.0,46.0,42.14060974121094,440
2000-02-29,46.0,48.29999923706055,46.0,48.0,43.972816467285156,5902
2000-03-01,46.779998779296875,49.5,45.79999923706055,48.5,44.430870056152344,12475
2000-03-02,48.0,49.099998474121094,48.0,49.0,44.888912200927734,6579
2000-03-03,48.0,51.20000076293945,48.0,51.20000076293945,46.904335021972656,804
2000-03-06,51.5,51.5,49.599998474121094,50.0,45.80501937866211,2883
2000-03-07,48.0,50.0,48.0,50.0,45.80501937866211,3112
2000-03-08,48.099998474121094,49.86000061035156,48.099998474121094,49.86000061035156,45.6767578125,11094
2000-03-09,50.0,50.0,48.20000076293945,49.0,44.888912200927734,7742
2000-03-10,48.0,50.0,48.0,50.0,45.80501937866211,10682
2000-03-13,50.0,50.0,48.79999923706055,49.0,44.888912200927734,603
2000-03-14,50.0,50.0,48.099998474121094,50.0,45.80501937866211,2507
2000-03-15,47.099998474121094,49.0,47.0,49.0,44.888912200927734,2389
2000-03-16,48.0,52.5,48.0,52.5,48.095272064208984,3786
2000-03-17,55.0,57.0,55.0,55.900001525878906,51.210018157958984,10921
2000-03-20,55.0,55.0,51.849998474121094,51.849998474121094,47.49980163574219,4506
2000-03-21,52.5,52.5,49.29999923706055,49.29999923706055,45.16374206542969,2097
2000-03-22,49.95000076293945,49.95000076293945,46.0,46.0,42.14060974121094,5997
2000-03-23,47.099998474121094,47.099998474121094,46.5,47.099998474121094,43.1483268737793,9325
2000-03-24,46.900001525878906,46.900001525878906,46.0,46.099998474121094,42.23222351074219,6533
2000-03-27,46.0,46.54999923706055,45.5,46.54999923706055,42.64447021484375,37955
2000-03-28,46.54999923706055,50.0,46.0,49.0,44.888912200927734,1906
2000-03-29,49.65999984741211,49.65999984741211,48.099998474121094,48.099998474121094,44.180908203125,720
2000-03-30,47.29999923706055,48.099998474121094,45.79999923706055,46.0,42.25202178955078,8123
2000-03-31,46.0,46.650001525878906,44.5,46.0,42.25202178955078,10663
2000-04-03,46.0,48.349998474121094,46.0,48.349998474121094,44.4105339050293,4258
2000-04-04,46.20000076293945,50.5,46.20000076293945,50.5,46.38536834716797,10731
2000-04-05,49.29999923706055,50.0,49.29999923706055,49.29999923706055,45.28313446044922,3243
2000-04-06,48.5,50.70000076293945,48.5,49.0,45.00758361816406,12893
2000-04-07,50.0,51.0,47.970001220703125,50.0,45.92610168457031,17621
2000-04-10,51.29999923706055,52.5,50.0,50.5,46.38536834716797,19092
2000-04-11,52.099998474121094,55.5,52.099998474121094,55.0,50.518714904785156,2696
2000-04-12,55.79999923706055,58.70000076293945,54.400001525878906,56.70000076293945,52.080204010009766,62671
2000-04-13,57.0,58.900001525878906,56.0,58.20000076293945,53.45798873901367,17993
2000-04-14,58.900001525878906,58.900001525878906,57.400001525878906,58.20000076293945,53.45798873901367,2519
2000-04-17,57.0,57.95000076293945,55.20000076293945,55.20000076293945,50.702423095703125,3803
2000-04-18,57.0,60.79999923706055,57.0,60.79999923706055,55.846134185791016,10447
2000-04-19,62.0,65.3499984741211,62.0,65.3499984741211,60.025421142578125,2009
2000-04-20,68.4000015258789,69.5,65.3499984741211,66.9000015258789,61.44912338256836,26020
2000-04-25,66.0,66.3499984741211,62.900001525878906,62.900001525878906,57.77503967285156,858
2000-04-26,59.79999923706055,59.900001525878906,57.5,59.0,54.19280242919922,3120
